order_item_id,order_id,item_name,item_quantity,item_unit_price,item_total_price
30001,20370,evolve B2C functionalities,2,8.82,17.64
30002,20264,maximize granular e-services,2,24.63,49.26
30003,20794,enhance viral partnerships,1,34.62,34.62
30004,20113,expedite one-to-one technologies,3,24.7,74.1
30005,20488,embrace back-end bandwidth,3,17.45,52.349999999999994
30006,20327,visualize integrated networks,2,30.12,60.24
30007,20542,leverage strategic convergence,1,20.62,20.62
30008,20647,engineer world-class technologies,4,46.98,187.92
30009,20579,syndicate bleeding-edge applications,3,46.52,139.56
30010,20065,re-contextualize world-class e-markets,2,27.61,55.22
30011,20292,engage transparent web-readiness,3,19.75,59.25
30012,20025,architect collaborative paradigms,3,38.17,114.51
30013,20549,iterate ubiquitous paradigms,4,6.65,26.6
30014,20001,brand customized bandwidth,1,26.36,26.36
30015,20911,scale synergistic e-business,4,20.13,80.52
30016,20549,mesh virtual ROI,1,46.42,46.42
30017,20141,expedite innovative info-mediaries,3,5.54,16.62
30018,20744,iterate value-added web-readiness,2,29.88,59.76
30019,20648,architect turn-key models,4,38.33,153.32
30020,20901,transition cross-media functionalities,1,26.83,26.83
30021,20188,synergize visionary markets,3,8.84,26.52
30022,20128,extend distributed bandwidth,1,48.76,48.76
30023,20201,benchmark global applications,1,28.31,28.31
30024,20127,envisioneer open-source solutions,1,32.64,32.64
30025,20257,optimize world-class relationships,3,15.65,46.95
30026,20676,whiteboard web-enabled models,2,26.76,53.52
30027,20547,incubate user-centric communities,2,24.31,48.62
30028,20194,target e-business e-commerce,2,8.37,16.74
30029,20703,syndicate scalable interfaces,1,9.78,9.78
30030,20104,exploit end-to-end partnerships,3,42.69,128.07
30031,20535,empower real-time schemas,1,15.79,15.79
30032,20265,engineer rich supply-chains,2,13.77,27.54
30033,20802,revolutionize sticky portals,2,27.72,55.44
30034,20942,embrace user-centric portals,3,39.59,118.77000000000001
30035,20974,maximize enterprise e-markets,1,7.79,7.79
30036,20384,orchestrate mission-critical mindshare,4,30.96,123.84
30037,20260,streamline transparent niches,4,10.36,41.44
30038,20414,leverage global e-business,2,6.64,13.28
30039,20991,iterate e-business systems,3,7.37,22.11
30040,20358,re-intermediate e-business platforms,1,42.54,42.54
30041,20075,redefine interactive partnerships,1,10.31,10.31
30042,20355,implement interactive deliverables,2,7.03,14.06
30043,20584,enhance integrated communities,2,24.71,49.42
30044,20771,drive collaborative infrastructures,1,42.98,42.98
30045,20910,grow distributed methodologies,1,16.81,16.81
30046,20188,enable transparent architectures,2,23.98,47.96
30047,20973,seize ubiquitous platforms,1,6.8,6.8
30048,20685,innovate turn-key methodologies,4,25.21,100.84
30049,20992,aggregate synergistic metrics,2,30.99,61.98
30050,20290,productize end-to-end ROI,1,30.69,30.69
30051,20045,transition distributed mindshare,2,19.96,39.92
30052,20573,transform dynamic applications,3,19.2,57.599999999999994
30053,20083,cultivate cutting-edge methodologies,2,9.8,19.6
